"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"10","64.082918359289","301.72429840624","293.23270633115","47190.067398369","8.2505992516785","57.658699355235","9.6393063788741","32.008586310128","17.95201849234","63.890657581129","14.629559812427","6.8150715747109","6.6799369498982","45.479596557847","40.456369307063","291.88451258488","blackout"
"11","60.698834157687","298.95682941966","293.32403199247","47158.396422347","3.0479762550726","58.498062066582","7.175201108268","32.008158832303","-9.5852426709416","59.415355476883","14.032087096791","5.8238400890488","5.0204673496591","45.052526995344","41.374465820348","295.14027180326","blackout"
"12","58.668491825408","300.59849166642","294.39351224476","47125.709914411","0.87836112188827","58.980725741582","8.9102574804567","33.147169489654","23.433698996125","58.960903693093","14.047981431275","4.3260072760636","5.5685015976118","43.205413907436","41.647794510782","294.75629758845","blackout"
"13","55.497022812894","297.47558382447","294.57824975484","47094.710737767","-0.043186975472417","55.261344095638","6.9816699548897","33.255579314135","2.6222212609011","54.963010880971","14.964826826458","6.2377166229576","6.8144060733965","44.24027999556","42.915777908367","293.18365337851","blackout"
"14","52.712576820569","297.11305542811","294.20179067124","47064.64835459","1.7617481336517","53.15778865912","9.260754378846","33.380877659754","0.75634380131959","53.457406142905","15.524968787011","3.5493000410344","4.909755105949","45.788935472341","43.112285355603","293.75439011614","blackout"
"15","51.871382562244","297.91065554182","292.51739802583","47034.326022909","0.49436334564803","46.794953460934","9.0761237981968","33.25557597821","8.9502558724925","51.874494342627","13.825122795438","5.9227563690269","3.4746926590223","46.474909530013","41.258006902541","293.20009250193","blackout"
"16","47.796465539978","297.82632261639","296.16287290992","47006.091450199","0.4511959888625","46.326903791932","8.6992149748532","31.196368980358","-6.1819469275559","49.432127288396","13.950394422871","4.7242790937185","4.865445577476","43.711595856399","41.970591111687","294.01601611674","blackout"
"17","46.958879524174","297.46921262513","294.26394254755","46978.329273755","0.63750027993182","48.419614289406","7.6065248163131","32.832748917178","8.0709717549976","47.412319566073","14.783384560964","3.9578338196568","5.203506618366","41.672459080183","39.916201054669","294.96471642563","blackout"
"18","46.099690326609","297.5631934083","295.4689576197","46952.842918841","0.50231410530805","48.02989060159","7.5167053988307","31.827442940024","2.5386567754654","45.401053678771","15.340864344592","5.2239283920661","5.5780561524437","42.72396102937","40.903304457278","293.90371420575","blackout"
"19","44.410980350736","298.01633500926","294.73517272398","46925.878979472","0.59919731226145","49.946345623297","7.1152958346765","32.372673149312","-10.579401025293","43.664879929449","15.772717007754","3.233582768537","5.0602794138333","42.799597546474","42.175471412566","294.76628779146","blackout"
"20","42.948731426712","294.61861257831","292.85704093481","46903.686503514","0.68957987392742","47.183346119458","9.4488701037022","32.170476130044","13.445951480674","42.817557810937","15.149565234205","2.2829190729008","3.9866055660561","42.043727920676","42.443531387579","294.62894355418","blackout"
"21","42.678486981862","297.16812444707","293.6028748604","46878.584567723","0.36326897946334","49.663193839023","7.6381480443902","32.407252592985","0.20018340027553","41.669781825993","13.975272453438","5.4021044622672","5.0782930001989","42.695224210734","41.710613008605","295.33366862651","blackout"
"22","40.094077159607","297.07533338706","293.75744830825","46853.176784322","0.99594551181546","50.468499785384","9.3110298405455","29.489551884423","-10.816705995944","42.810168545799","14.464492644662","4.3851020300187","3.5135329326159","43.509205247485","40.811869412559","294.19765222201","blackout"
"23","39.785562610425","296.60276681156","293.48520924691","46834.686214983","1.46366919802","49.742557224228","6.9414026643974","32.384524230809","14.171390489272","39.389010652357","15.636975235845","5.7414663907453","3.3646388509958","41.92482677062","41.592919935392","294.56525485394","blackout"
"24","39.647319720846","298.73642212714","295.41631949494","46815.353520128","0.71428791014765","50.610036283256","8.2592326701198","33.410066487419","-2.708899567533","36.977511490752","14.901562473022","4.5892205809629","5.8616396833555","44.406629483517","39.852445988393","293.62018197011","blackout"
"25","39.052135815262","295.48578669881","292.796657894","46797.268191371","1.2447415564004","51.575863394791","9.1417819133779","32.68334514354","-7.6334039179208","36.107562245827","12.756789034771","3.6540364937114","2.4129112412805","42.428900634437","43.781898882565","295.74558226368","blackout"
"26","37.312685298726","297.58672261616","293.80220870088","46782.426542506","-0.15405308356375","51.068668959125","7.5168515005794","31.253086189209","13.804854029022","36.803553171837","15.420258161544","5.2933050207384","3.8071882328766","41.693917681657","40.278255324494","295.71716077373","blackout"
"27","34.757167904637","297.53373677584","295.11683148388","46766.040251701","1.9211653526549","52.190802954199","7.5115512648296","31.457750223951","-1.6289836268924","35.51013388083","15.07203099794","2.2823485562075","3.5813693739738","43.451290629134","42.099354617676","293.88657395966","blackout"
"28","35.64721926883","298.08386786449","295.61246299998","46753.959737077","0.59733617751865","52.768628269061","8.1611294542835","32.06136106981","-4.753909187106","32.560150179196","14.875858311715","3.4495269786052","3.8425513220952","44.578151414065","41.902929425413","296.93859204272","blackout"
