"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"30","32.036864629237","298.36795485994","295.96036636918","46735.805512208","3.5358393818307","50.717386030495","7.3397279486239","33.173529662182","-0.43440786667682","32.697820529845","14.388612928737","6.0530162777038","4.0118709991629","42.464903017333","42.743659339646","294.53639062613","blackout"
"31","29.57377857981","295.33913810612","294.70018422131","46729.502242787","2.0927742397099","53.72159699437","7.0291811842484","32.578497131387","-4.4501389998127","32.58565233885","15.06410340473","5.0872218118026","3.4544113940212","43.582202725156","42.505642758347","295.88259903217","blackout"
"32","29.333584524436","298.52926749749","294.88126553398","46723.96903087","3.2023215824425","54.651195142919","8.014492208859","29.997494869204","13.021916255648","31.816367779415","14.287215074259","5.5081365510018","5.8885027006752","42.377413961728","42.590091970467","297.20077867756","blackout"
"33","32.339390847755","298.99347154647","294.79887890508","46723.210227678","1.1551674244202","55.021970709085","7.6810441017126","31.709592233936","5.0261558320162","30.150807340789","16.076356469718","3.2455804693545","2.7480482363907","41.885829318988","40.149981160821","295.49166374828","blackout"
"34","28.422215248114","296.61750449482","294.70941884424","46723.677221871","0.027977273617079","54.353699777569","7.4176618763239","32.086891264679","-4.2129132113394","29.088187319286","15.943292557107","4.0094435925553","3.6407183234678","43.031698560237","43.067733210693","294.58124707263","blackout"
"35","28.635900861071","296.78980487384","295.98336889131","46727.202677555","0.81565030460582","54.703556925876","6.7521021915711","32.314553601431","13.663726545298","28.662994991183","15.34736583287","5.7154401797362","5.6131828791065","42.868395424141","41.842271694788","296.02427251163","blackout"
"36","28.157145983003","298.50212326327","295.32188759708","46734.050198971","0.64367297966507","54.822340532501","7.8908676143546","33.04201961647","7.4457823962273","27.715670722683","16.269124606438","4.8705857903073","4.4055156457732","42.568909839251","42.045521241533","296.69001020796","blackout"
"37","28.376145724305","297.61744282761","293.31560842101","46737.420495231","2.7516397046749","53.962593882344","7.393673181318","32.878500454439","-5.8718345391662","27.242267293031","15.237963997327","2.6072012104257","3.6321359286841","43.932528245194","42.084572664696","298.75511658986","blackout"
"38","28.357645266876","296.57704010815","294.52222184939","46747.556829608","1.981056157378","56.180154858287","9.3370620538571","32.19569521924","8.0148176318438","27.168289316864","14.302953377464","5.4895416537458","3.312328353098","43.615111498291","43.17443588483","297.36219152177","blackout"
"39","24.966619948449","297.7997289262","296.52901501013","46762.725563677","-1.4879574563414","53.931253086999","7.7230631266236","30.775880431239","11.543646593652","25.901789488925","15.738271345686","4.5014253997988","3.715457228961","43.018377479749","43.907540922003","296.15908019905","blackout"
